,Framework,Category,Issue.ID,Author,Date.Opened,Number.of.Comment.s.,Date.of.first.comment,Date.of.last.time.closed,Time.before.first.comment..in.minutes.,Time.before.issue.last.closed..in.minutes.,Number.of.participants..including.the.author.and.people.who.did.not.comment.on.the.issue.thread.,Number.of.commentators,Commentators..username.alongside.the.number.of.comments.posted.,Issue.labels
84,Pytorch,Traditional SE inefficiency,45968,david-macleod,2020-10-07 12:28,6,2020-10-07 19:00,2020-10-12 23:20,392.2666667,7852.016667,4,4,"{'rohan-varma': 1, 'pritamdamania87': 1, 'david-macleod': 2, 'SciPioneer': 2}","['module:ddp', 'oncall:distributed']"
85,Pytorch,Traditional SE inefficiency,46936,zou3519,2020-10-27 19:32,2,2020-12-30 16:25,2020-12-30 16:25,91972.3,91972.3,3,2,"{'zou3519': 1, 'anjali411': 1}","['module:complex', 'module:performance', 'module:regression', 'triaged']"
86,Pytorch,Traditional SE inefficiency,9168,mrocklin,2018-07-04 15:32,17,2018-07-04 15:47,2018-07-09 22:17,15.31666667,7604.8,4,4,"{'soumith': 5, 'mrocklin': 10, 'zou3519': 1, 'fmassa': 1}",['triagereview']
87,TensorFlow,Traditional SE inefficiency,13693,ftokarev,2017-10-13 16:16,5,2017-10-13 20:11,2017-10-22 5:14,234.9333333,12298.35,4,4,"{'reedwm': 2, 'ftokarev': 1, 'cwhipkey': 1, 'yongtang': 1}",['stat:awaitingtensorflower']
88,TensorFlow,Traditional SE inefficiency,17315,yaroslavvb,2018-02-28 0:26,9,2018-03-03 7:46,2018-06-12 14:03,4760.466667,150577.0333,7,4,"{'tensorflowbutler': 6, 'robertnishihara': 1, 'yaroslavvb': 1, 'ezhulenev': 1}",['No labels']
89,TensorFlow,Traditional SE inefficiency,30165,movinghoon,2019-06-26 8:01,5,2019-06-27 12:22,2019-07-08 9:55,1701.033333,17393.76667,7,4,"{'achandraa': 1, 'alextp': 1, 'superbobry': 2, 'tensorflow-bot': 1}","['TF2.0', 'comp:ops', 'type:bug']"
90,TensorFlow,Traditional SE inefficiency,33376,rggjan,2019-10-15 13:32,5,2019-10-16 6:34,2019-12-17 21:41,1021.85,91209.25,6,4,"{'oanush': 1, 'martinwicke': 2, 'annarev': 1, 'tensorflow-bot': 1}","['TF1.14', 'comp:ops', 'comp:runtime', 'type:bug']"
91,Pytorch,Traditional SE inefficiency,31271,colesbury,2019-12-13 23:00,4,2019-12-14 0:39,2019-12-15 22:01,99.08333333,2821.433333,5,3,"{'zasdfgbnm': 2, 'ezyang': 1, 'mingzhe09088': 1}","['highpriority', 'module:performance', 'triagereview', 'triaged']"
92,Pytorch,Traditional SE inefficiency,13465,anderspapitto,2018-11-01 18:48,0,No comments,2019-03-14 17:12,No comments,191423.95,2,0,{},"['module:build', 'module:windows']"
93,TensorFlow,Traditional SE inefficiency,11829,patrikerdes,2017-07-27 22:21,7,2017-07-31 22:32,2017-09-17 20:38,5771.45,74777.26667,4,3,"{'poxvoculi': 1, 'konstunn': 3, 'drpngx': 3}","['stat:communitysupport', 'type:bug']"
94,Pytorch,Traditional SE inefficiency,48889,Jokeren,2020-12-05 20:13,4,2020-12-07 20:14,2020-12-18 19:31,2881.916667,18678.83333,3,2,"{'ngimel': 2, 'Jokeren': 2}","['module:performance', 'triaged']"
95,Pytorch,Traditional SE inefficiency,5047,MlWoo,2018-02-05 14:31,1,2018-02-05 15:58,2018-02-05 18:58,87.7,267.45,2,1,{'SsnL': 1},['No labels']
96,Pytorch,Traditional SE inefficiency,52264,jansel,2021-02-14 20:51,18,2021-02-16 5:21,2021-02-18 20:02,1950.483333,5711.6,10,6,"{'jansel': 4, 'ZolotukhinM': 4, 'navahgar': 6, 'wconstab': 1, 'Krovatkin': 2, 'bertmaher': 1}","['NNC', 'triaged']"
97,Pytorch,Traditional SE inefficiency,53872,PetrochukM,2021-03-12 3:57,1,2021-03-12 9:18,2021-03-15 15:47,320.5333333,5030.05,3,1,{'t-vi': 1},['oncall:distributed']
98,Pytorch,Traditional SE inefficiency,6863,colesbury,2018-04-23 14:44,8,2018-04-23 14:48,2018-11-28 14:47,3.616666667,315362.4,6,5,"{'gchanan': 2, 'sapjunior': 1, 'fmassa': 3, 'vadimkantorov': 1, 'soumith': 1}",['highpriority']
99,Pytorch,Ineffcient caching,48049,stas00,2020-11-16 21:58,21,2020-11-18 5:02,2021-01-28 17:36,1863.766667,104857.75,9,8,"{'ezyang': 3, 'agolynski': 1, 'mcarilli': 4, 't-vi': 1, 'albanD': 5, 'stas00': 5, 'ptrblck': 1, 'mattip': 1}","['highpriority', 'module:amp(automatedmixedprecision)', 'triaged']"
100,Pytorch,Ineffcient caching,33334,hl475,2020-02-14 5:24,6,2020-02-17 7:41,2020-03-04 20:48,4456.766667,28283.73333,6,3,"{'hl475': 3, 'mingfeima': 2, 'peterbell10': 1}","['highpriority', 'module:performance', 'triaged']"
101,TensorFlow,Ineffcient caching,43187,yuanbopeng,2020-09-13 13:59,5,2020-09-14 5:42,2020-09-28 3:46,943.1666667,20986.5,5,3,"{'Saduf2019': 1, 'yuanbopeng': 3, 'vnvo2409': 1}","['TF1.13', 'comp:runtime', 'stat:awaitingtensorflower', 'type:performance']"
102,TensorFlow,Ineffcient caching,20218,qijimrc,2018-06-22 8:39,20,2018-06-22 18:56,2018-08-31 0:31,616.5833333,100312.05,8,6,"{'tensorflowbutler': 1, 'alextp': 2, 'qijimrc': 3, 'allenlavoie': 8, 'LeoLai930603': 5, 'rmanak': 1}",['comp:eager']
103,Pytorch,Hardware component communication overhead,158,szagoruyko,2016-10-23 16:37,1,2016-10-24 21:17,2016-10-24 21:17,1720.283333,1720.283333,2,1,{'apaszke': 1},['No labels']
104,Pytorch,Inefficient hardware optimization,42890,albanD,2020-08-12 1:14,5,2020-08-12 18:54,2020-11-16 19:36,1059.75,139342.1,5,3,"{'wanchaol': 2, 'albanD': 2, 'pritamdamania87': 1}","['actionable', 'module:autograd', 'triaged']"
105,TensorFlow,Inefficient hardware optimization,32138,dimitree54,2019-09-01 10:30,10,2019-09-03 11:02,2019-09-19 14:58,2912.383333,26188.95,10,7,"{'ravikyram': 1, 'kkimdev': 1, 'jsimsa': 2, 'dimitree54': 2, 'alextp': 1, 'tensorflow-bot': 1, 'mdanatg': 2}","['TF2.0', 'comp:autograph', 'comp:data', 'type:performance']"
